"plate_id","row","column","bug","condition","conc"
2,"e",7,"jensenii","LNA",200
2,"e",8,"iners","LNA",200
2,"e",9,"iners","LNA",200
2,"e",10,"iners","LNA",200
2,"e",11,"CTRL","LNA",200
2,"e",12,"CTRL","LNA",200
2,"f",1,"CTRL","LNA",100
2,"f",2,"crispatus","LNA",100
2,"f",3,"crispatus","LNA",100
2,"f",4,"crispatus","LNA",100
2,"f",5,"jensenii","LNA",100
2,"f",6,"jensenii","LNA",100
2,"f",7,"jensenii","LNA",100
2,"f",8,"iners","LNA",100
2,"f",9,"iners","LNA",100
2,"f",10,"iners","LNA",100
2,"f",11,"CTRL","LNA",100
2,"f",12,"CTRL","LNA",100
2,"g",1,"CTRL","LNA",50
2,"g",2,"crispatus","LNA",50
2,"g",3,"crispatus","LNA",50
2,"g",4,"crispatus","LNA",50
2,"g",5,"jensenii","LNA",50
2,"g",6,"jensenii","LNA",50
2,"g",7,"jensenii","LNA",50
2,"g",8,"iners","LNA",50
2,"g",9,"iners","LNA",50
2,"g",10,"iners","LNA",50
2,"g",11,"CTRL","LNA",50
2,"g",12,"CTRL","LNA",50
2,"h",1,"CTRL","CTRL",0
2,"h",2,"crispatus","CTRL",0
2,"h",3,"crispatus","CTRL",0
2,"h",4,"crispatus","CTRL",0
2,"h",5,"jensenii","CTRL",0
2,"h",6,"jensenii","CTRL",0
2,"h",7,"jensenii","CTRL",0
2,"h",8,"iners","CTRL",0
2,"h",9,"iners","CTRL",0
2,"h",10,"iners","CTRL",0
2,"h",11,"CTRL","CTRL",0
2,"h",12,"CTRL","CTRL",0
3,"a",1,"CTRL","CTRL",0
3,"a",2,"gasseri","CTRL",0
3,"a",3,"gasseri","CTRL",0
3,"a",4,"gasseri","CTRL",0
3,"a",5,"vaginalis","CTRL",0
3,"a",6,"vaginalis","CTRL",0
3,"a",7,"vaginalis","CTRL",0
3,"a",8,"piotii","CTRL",0
3,"a",9,"piotii","CTRL",0
3,"a",10,"piotii","CTRL",0
3,"a",11,"CTRL","CTRL",0
3,"a",12,"CTRL","CTRL",0
3,"b",1,"CTRL","OA",400
3,"b",2,"gasseri","OA",400
3,"b",3,"gasseri","OA",400
3,"b",4,"gasseri","OA",400
3,"b",5,"vaginalis","OA",400
3,"b",6,"vaginalis","OA",400
3,"b",7,"vaginalis","OA",400
3,"b",8,"piotii","OA",400
3,"b",9,"piotii","OA",400
3,"b",10,"piotii","OA",400
3,"b",11,"CTRL","OA",400
3,"b",12,"CTRL","OA",400
3,"c",1,"CTRL","OA",200
3,"c",2,"gasseri","OA",200
3,"c",3,"gasseri","OA",200
3,"c",4,"gasseri","OA",200
3,"c",5,"vaginalis","OA",200
3,"c",6,"vaginalis","OA",200
3,"c",7,"vaginalis","OA",200
3,"c",8,"piotii","OA",200
3,"c",9,"piotii","OA",200
3,"c",10,"piotii","OA",200
3,"c",11,"CTRL","OA",200
3,"c",12,"CTRL","OA",200
3,"d",1,"CTRL","OA",100
3,"d",2,"gasseri","OA",100
3,"d",3,"gasseri","OA",100
3,"d",4,"gasseri","OA",100
3,"d",5,"vaginalis","OA",100
3,"d",6,"vaginalis","OA",100
3,"d",7,"vaginalis","OA",100
3,"d",8,"piotii","OA",100
3,"d",9,"piotii","OA",100
3,"d",10,"piotii","OA",100
3,"d",11,"CTRL","OA",100
3,"d",12,"CTRL","OA",100
3,"e",1,"CTRL","OA",50
3,"e",2,"gasseri","OA",50
3,"e",3,"gasseri","OA",50
3,"e",4,"gasseri","OA",50
3,"e",5,"vaginalis","OA",50
3,"e",6,"vaginalis","OA",50
3,"e",7,"vaginalis","OA",50
3,"e",8,"piotii","OA",50
3,"e",9,"piotii","OA",50
3,"e",10,"piotii","OA",50
3,"e",11,"CTRL","OA",50
3,"e",12,"CTRL","OA",50
3,"f",1,"CTRL","VCA",400
3,"f",2,"gasseri","VCA",400
3,"f",3,"gasseri","VCA",400
3,"f",4,"gasseri","VCA",400
3,"f",5,"vaginalis","VCA",400
3,"f",6,"vaginalis","VCA",400
3,"f",7,"vaginalis","VCA",400
3,"f",8,"piotii","VCA",400
3,"f",9,"piotii","VCA",400
3,"f",10,"piotii","VCA",400
3,"f",11,"CTRL","VCA",400
3,"f",12,"CTRL","VCA",400
3,"g",1,"CTRL","VCA",200
3,"g",2,"gasseri","VCA",200
3,"g",3,"gasseri","VCA",200
3,"g",4,"gasseri","VCA",200
3,"g",5,"vaginalis","VCA",200
3,"g",6,"vaginalis","VCA",200
3,"g",7,"vaginalis","VCA",200
3,"g",8,"piotii","VCA",200
3,"g",9,"piotii","VCA",200
3,"g",10,"piotii","VCA",200
3,"g",11,"CTRL","VCA",200
3,"g",12,"CTRL","VCA",200
3,"h",1,"CTRL","CTRL",0
3,"h",2,"gasseri","CTRL",0
3,"h",3,"gasseri","CTRL",0
3,"h",4,"gasseri","CTRL",0
3,"h",5,"vaginalis","CTRL",0
3,"h",6,"vaginalis","CTRL",0
3,"h",7,"vaginalis","CTRL",0
3,"h",8,"piotii","CTRL",0
3,"h",9,"piotii","CTRL",0
3,"h",10,"piotii","CTRL",0
3,"h",11,"CTRL","CTRL",0
3,"h",12,"CTRL","CTRL",0
4,"a",1,"CTRL","CTRL",0
4,"a",2,"gasseri","CTRL",0
4,"a",3,"gasseri","CTRL",0
4,"a",4,"gasseri","CTRL",0
4,"a",5,"vaginalis","CTRL",0
4,"a",6,"vaginalis","CTRL",0
4,"a",7,"vaginalis","CTRL",0
4,"a",8,"piotii","CTRL",0
4,"a",9,"piotii","CTRL",0
4,"a",10,"piotii","CTRL",0
4,"a",11,"CTRL","CTRL",0
4,"a",12,"CTRL","CTRL",0
4,"b",1,"CTRL","VCA",100
4,"b",2,"gasseri","VCA",100
4,"b",3,"gasseri","VCA",100
4,"b",4,"gasseri","VCA",100
4,"b",5,"vaginalis","VCA",100
4,"b",6,"vaginalis","VCA",100
4,"b",7,"vaginalis","VCA",100
4,"b",8,"piotii","VCA",100
4,"b",9,"piotii","VCA",100
4,"b",10,"piotii","VCA",100
4,"b",11,"CTRL","VCA",100
4,"b",12,"CTRL","VCA",100
4,"c",1,"CTRL","VCA",50
4,"c",2,"gasseri","VCA",50
4,"c",3,"gasseri","VCA",50
4,"c",4,"gasseri","VCA",50
4,"c",5,"vaginalis","VCA",50
4,"c",6,"vaginalis","VCA",50
4,"c",7,"vaginalis","VCA",50
4,"c",8,"piotii","VCA",50
4,"c",9,"piotii","VCA",50
4,"c",10,"piotii","VCA",50
4,"c",11,"CTRL","VCA",50
4,"c",12,"CTRL","VCA",50
4,"d",1,"CTRL","LNA",400
4,"d",2,"gasseri","LNA",400
4,"d",3,"gasseri","LNA",400
4,"d",4,"gasseri","LNA",400
4,"d",5,"vaginalis","LNA",400
4,"d",6,"vaginalis","LNA",400
4,"d",7,"vaginalis","LNA",400
4,"d",8,"piotii","LNA",400
4,"d",9,"piotii","LNA",400
4,"d",10,"piotii","LNA",400
4,"d",11,"CTRL","LNA",400
4,"d",12,"CTRL","LNA",400
4,"e",1,"CTRL","LNA",200
4,"e",2,"gasseri","LNA",200
4,"e",3,"gasseri","LNA",200
4,"e",4,"gasseri","LNA",200
4,"e",5,"vaginalis","LNA",200
4,"e",6,"vaginalis","LNA",200
4,"e",7,"vaginalis","LNA",200
4,"e",8,"piotii","LNA",200
4,"e",9,"piotii","LNA",200
4,"e",10,"piotii","LNA",200
4,"e",11,"CTRL","LNA",200
4,"e",12,"CTRL","LNA",200
4,"f",1,"CTRL","LNA",100
4,"f",2,"gasseri","LNA",100
4,"f",3,"gasseri","LNA",100
4,"f",4,"gasseri","LNA",100
4,"f",5,"vaginalis","LNA",100
4,"f",6,"vaginalis","LNA",100
4,"f",7,"vaginalis","LNA",100
4,"f",8,"piotii","LNA",100
4,"f",9,"piotii","LNA",100
4,"f",10,"piotii","LNA",100
4,"f",11,"CTRL","LNA",100
4,"f",12,"CTRL","LNA",100
4,"g",1,"CTRL","LNA",50
4,"g",2,"gasseri","LNA",50
4,"g",3,"gasseri","LNA",50
4,"g",4,"gasseri","LNA",50
4,"g",5,"vaginalis","LNA",50
4,"g",6,"vaginalis","LNA",50
4,"g",7,"vaginalis","LNA",50
4,"g",8,"piotii","LNA",50
4,"g",9,"piotii","LNA",50
4,"g",10,"piotii","LNA",50
4,"g",11,"CTRL","LNA",50
4,"g",12,"CTRL","LNA",50
4,"h",1,"CTRL","CTRL",0
4,"h",2,"gasseri","CTRL",0
4,"h",3,"gasseri","CTRL",0
4,"h",4,"gasseri","CTRL",0
4,"h",5,"vaginalis","CTRL",0
4,"h",6,"vaginalis","CTRL",0
4,"h",7,"vaginalis","CTRL",0
4,"h",8,"piotii","CTRL",0
4,"h",9,"piotii","CTRL",0
4,"h",10,"piotii","CTRL",0
4,"h",11,"CTRL","CTRL",0
4,"h",12,"CTRL","CTRL",0
