"od","plate_id","row","column"
0.116,4,"a",1
0.121,4,"a",2
0.125,4,"a",3
0.12,4,"a",4
0.128,4,"a",5
0.125,4,"a",6
0.126,4,"a",7
0.251,4,"a",8
0.253,4,"a",9
0.264,4,"a",10
0.121,4,"a",11
0.117,4,"a",12
0.119,4,"b",1
0.688,4,"b",2
0.636,4,"b",3
0.591,4,"b",4
0.134,4,"b",5
0.133,4,"b",6
0.132,4,"b",7
0.136,4,"b",8
0.137,4,"b",9
0.148,4,"b",10
0.123,4,"b",11
0.119,4,"b",12
0.122,4,"c",1
0.49,4,"c",2
0.499,4,"c",3
0.482,4,"c",4
0.126,4,"c",5
0.13,4,"c",6
0.129,4,"c",7
0.155,4,"c",8
0.341,4,"c",9
0.293,4,"c",10
0.123,4,"c",11
0.12,4,"c",12
0.127,4,"d",1
0.133,4,"d",2
0.125,4,"d",3
0.123,4,"d",4
0.14,4,"d",5
0.143,4,"d",6
0.138,4,"d",7
0.133,4,"d",8
0.136,4,"d",9
0.139,4,"d",10
0.126,4,"d",11
0.127,4,"d",12
0.121,4,"e",1
0.126,4,"e",2
0.123,4,"e",3
0.123,4,"e",4
0.14,4,"e",5
0.137,4,"e",6
0.137,4,"e",7
0.139,4,"e",8
0.134,4,"e",9
0.135,4,"e",10
0.122,4,"e",11
0.127,4,"e",12
0.122,4,"f",1
0.128,4,"f",2
0.128,4,"f",3
0.124,4,"f",4
0.134,4,"f",5
0.136,4,"f",6
0.136,4,"f",7
0.127,4,"f",8
0.133,4,"f",9
0.132,4,"f",10
0.121,4,"f",11
0.124,4,"f",12
0.119,4,"g",1
0.128,4,"g",2
0.123,4,"g",3
0.252,4,"g",4
0.131,4,"g",5
0.136,4,"g",6
0.133,4,"g",7
0.125,4,"g",8
0.128,4,"g",9
0.128,4,"g",10
0.122,4,"g",11
0.118,4,"g",12
0.119,4,"h",1
0.125,4,"h",2
0.12,4,"h",3
0.12,4,"h",4
0.127,4,"h",5
0.125,4,"h",6
0.131,4,"h",7
0.216,4,"h",8
0.219,4,"h",9
0.228,4,"h",10
0.119,4,"h",11
0.119,4,"h",12
