"od","plate_id","row","column"
0.206,1,"a",1
0.171,1,"a",2
0.136,1,"a",3
0.131,1,"a",4
0.137,1,"a",5
0.14,1,"a",6
0.144,1,"a",7
0.126,1,"a",8
0.13,1,"a",9
0.127,1,"a",10
0.118,1,"a",11
0.12,1,"a",12
0.134,1,"b",1
0.453,1,"b",2
0.478,1,"b",3
0.416,1,"b",4
0.451,1,"b",5
0.446,1,"b",6
0.534,1,"b",7
0.138,1,"b",8
0.137,1,"b",9
0.132,1,"b",10
0.125,1,"b",11
0.128,1,"b",12
0.132,1,"c",1
0.383,1,"c",2
0.401,1,"c",3
0.37,1,"c",4
0.342,1,"c",5
0.336,1,"c",6
0.348,1,"c",7
0.133,1,"c",8
0.135,1,"c",9
0.132,1,"c",10
0.122,1,"c",11
0.118,1,"c",12
0.16,1,"d",1
0.303,1,"d",2
0.305,1,"d",3
0.271,1,"d",4
0.299,1,"d",5
0.311,1,"d",6
0.294,1,"d",7
0.129,1,"d",8
0.127,1,"d",9
0.129,1,"d",10
0.127,1,"d",11
0.115,1,"d",12
0.141,1,"e",1
0.196,1,"e",2
0.204,1,"e",3
0.193,1,"e",4
0.232,1,"e",5
0.226,1,"e",6
0.231,1,"e",7
0.13,1,"e",8
0.127,1,"e",9
0.13,1,"e",10
0.12,1,"e",11
0.114,1,"e",12
0.123,1,"f",1
0.489,1,"f",2
0.5,1,"f",3
0.473,1,"f",4
0.61,1,"f",5
0.626,1,"f",6
0.627,1,"f",7
0.131,1,"f",8
0.129,1,"f",9
0.132,1,"f",10
0.122,1,"f",11
0.122,1,"f",12
0.117,1,"g",1
0.419,1,"g",2
0.451,1,"g",3
0.384,1,"g",4
0.452,1,"g",5
0.461,1,"g",6
0.458,1,"g",7
0.126,1,"g",8
0.132,1,"g",9
0.128,1,"g",10
0.122,1,"g",11
0.116,1,"g",12
0.114,1,"h",1
0.125,1,"h",2
0.127,1,"h",3
0.124,1,"h",4
0.136,1,"h",5
0.131,1,"h",6
0.133,1,"h",7
0.121,1,"h",8
0.122,1,"h",9
0.124,1,"h",10
0.113,1,"h",11
0.113,1,"h",12
