"od","plate_id","row","column"
0.117,2,"a",1
0.149,2,"a",2
0.125,2,"a",3
0.126,2,"a",4
0.133,2,"a",5
0.133,2,"a",6
0.134,2,"a",7
0.123,2,"a",8
0.132,2,"a",9
0.129,2,"a",10
0.115,2,"a",11
0.117,2,"a",12
0.116,2,"b",1
0.37,2,"b",2
0.367,2,"b",3
0.352,2,"b",4
0.409,2,"b",5
0.409,2,"b",6
0.399,2,"b",7
0.132,2,"b",8
0.131,2,"b",9
0.127,2,"b",10
0.119,2,"b",11
0.117,2,"b",12
0.116,2,"c",1
0.325,2,"c",2
0.329,2,"c",3
0.317,2,"c",4
0.355,2,"c",5
0.352,2,"c",6
0.352,2,"c",7
0.127,2,"c",8
0.129,2,"c",9
0.126,2,"c",10
0.118,2,"c",11
0.116,2,"c",12
0.123,2,"d",1
0.139,2,"d",2
0.138,2,"d",3
0.138,2,"d",4
0.152,2,"d",5
0.151,2,"d",6
0.149,2,"d",7
0.139,2,"d",8
0.139,2,"d",9
0.141,2,"d",10
0.122,2,"d",11
0.126,2,"d",12
0.123,2,"e",1
0.135,2,"e",2
0.132,2,"e",3
0.132,2,"e",4
0.149,2,"e",5
0.145,2,"e",6
0.145,2,"e",7
0.138,2,"e",8
0.134,2,"e",9
0.134,2,"e",10
0.122,2,"e",11
0.122,2,"e",12
0.118,2,"f",1
0.128,2,"f",2
0.129,2,"f",3
0.126,2,"f",4
0.12,2,"f",5
0.142,2,"f",6
0.145,2,"f",7
0.132,2,"f",8
0.135,2,"f",9
0.129,2,"f",10
0.12,2,"f",11
0.119,2,"f",12
0.117,2,"g",1
0.124,2,"g",2
0.27,2,"g",3
0.128,2,"g",4
0.117,2,"g",5
0.182,2,"g",6
0.187,2,"g",7
0.133,2,"g",8
0.13,2,"g",9
0.13,2,"g",10
0.116,2,"g",11
0.118,2,"g",12
0.114,2,"h",1
0.123,2,"h",2
0.125,2,"h",3
0.123,2,"h",4
0.115,2,"h",5
0.129,2,"h",6
0.132,2,"h",7
0.119,2,"h",8
0.124,2,"h",9
0.123,2,"h",10
0.113,2,"h",11
0.114,2,"h",12
